Raw	Instrument	LC_column	Celltype	Label	Set	Real_single_cell	LCMS_batch	Sort_day	Digest	id
wJD1190	Q-Exactive	AUR2-15075C18A	Melanoma	8	45	TRUE	A	A	A	id135
wJD1191	Q-Exactive	AUR2-15075C18A	U-937	0	46	TRUE	A	A	A	id136
wJD1191	Q-Exactive	AUR2-15075C18A	Melanoma	4	46	TRUE	A	A	A	id137
wJD1191	Q-Exactive	AUR2-15075C18A	PDAC	8	46	TRUE	A	A	A	id138
wJD1192	Q-Exactive	AUR2-15075C18A	U-937	0	47	TRUE	A	A	A	id139
wJD1192	Q-Exactive	AUR2-15075C18A	Melanoma	4	47	TRUE	A	A	A	id140
wJD1192	Q-Exactive	AUR2-15075C18A	PDAC	8	47	TRUE	A	A	A	id141
wJD1193	Q-Exactive	AUR2-15075C18A	U-937	0	48	TRUE	A	A	A	id142
wJD1193	Q-Exactive	AUR2-15075C18A	Melanoma	4	48	TRUE	A	A	A	id143
wJD1193	Q-Exactive	AUR2-15075C18A	PDAC	8	48	TRUE	A	A	A	id144
wJD1194	Q-Exactive	AUR2-15075C18A	PDAC_DB	0	X1	FALSE	A	A	B	id145
wJD1194	Q-Exactive	AUR2-15075C18A	U-937_DB	4	X1	FALSE	A	A	B	id146
wJD1194	Q-Exactive	AUR2-15075C18A	Melanoma_DB	8	X1	FALSE	A	A	B	id147
wJD1195	Q-Exactive	AUR2-15075C18A	U-937_DB	0	X2	FALSE	A	A	B	id148
wJD1195	Q-Exactive	AUR2-15075C18A	Melanoma_DB	4	X2	FALSE	A	A	B	id149
wJD1195	Q-Exactive	AUR2-15075C18A	PDAC_DB	8	X2	FALSE	A	A	B	id150
wJD1196	Q-Exactive	AUR2-15075C18A	Melanoma_DB	0	X3	FALSE	A	A	B	id151
wJD1196	Q-Exactive	AUR2-15075C18A	PDAC_DB	4	X3	FALSE	A	A	B	id152
wJD1196	Q-Exactive	AUR2-15075C18A	U-937_DB	8	X3	FALSE	A	A	B	id153
20220308_1xSCP_Slot1.4_1_214	timsTOFSCP	AUR2-25075C18A	Melanoma_t_DB	0	t_X1	FALSE	B	B	A	id154
20220308_1xSCP_Slot1.4_1_214	timsTOFSCP	AUR2-25075C18A	PDAC_t_DB	4	t_X1	FALSE	B	B	A	id155
20220308_1xSCP_Slot1.4_1_214	timsTOFSCP	AUR2-25075C18A	U-937_t_DB	8	t_X1	FALSE	B	B	A	id156
20220308_npop_SCP_1_Slot2.1_1_215	timsTOFSCP	AUR2-25075C18A	U-937_t	0	49	TRUE	B	B	A	id157
20220308_npop_SCP_1_Slot2.1_1_215	timsTOFSCP	AUR2-25075C18A	PDAC_t	4	49	TRUE	B	B	A	id158
20220308_npop_SCP_1_Slot2.1_1_215	timsTOFSCP	AUR2-25075C18A	Melanoma_t	8	49	TRUE	B	B	A	id159
20220308_npop_SCP_2_Slot2.2_1_216	timsTOFSCP	AUR2-25075C18A	PDAC_t	0	50	TRUE	B	B	A	id160
20220308_npop_SCP_2_Slot2.2_1_216	timsTOFSCP	AUR2-25075C18A	Melanoma_t	4	50	TRUE	B	B	A	id161
20220308_npop_SCP_2_Slot2.2_1_216	timsTOFSCP	AUR2-25075C18A	U-937_t	8	50	TRUE	B	B	A	id162
20220308_npop_SCP_3_Slot2.3_1_217	timsTOFSCP	AUR2-25075C18A	Melanoma_t	0	51	TRUE	B	B	A	id163
20220308_npop_SCP_3_Slot2.3_1_217	timsTOFSCP	AUR2-25075C18A	U-937_t	4	51	TRUE	B	B	A	id164
20220308_npop_SCP_3_Slot2.3_1_217	timsTOFSCP	AUR2-25075C18A	PDAC_t	8	51	TRUE	B	B	A	id165
20220308_npop_SCP_4_Slot2.4_1_218	timsTOFSCP	AUR2-25075C18A	U-937_t	0	52	TRUE	B	B	A	id166
20220308_npop_SCP_4_Slot2.4_1_218	timsTOFSCP	AUR2-25075C18A	PDAC_t	4	52	TRUE	B	B	A	id167
20220308_npop_SCP_4_Slot2.4_1_218	timsTOFSCP	AUR2-25075C18A	Melanoma_t	8	52	TRUE	B	B	A	id168
20220308_npop_SCP_5_Slot2.5_1_219	timsTOFSCP	AUR2-25075C18A	PDAC_t	0	53	TRUE	B	B	A	id169
20220308_npop_SCP_5_Slot2.5_1_219	timsTOFSCP	AUR2-25075C18A	Melanoma_t	4	53	TRUE	B	B	A	id170
20220308_npop_SCP_5_Slot2.5_1_219	timsTOFSCP	AUR2-25075C18A	U-937_t	8	53	TRUE	B	B	A	id171
20220308_npop_SCP_6_Slot2.6_1_220	timsTOFSCP	AUR2-25075C18A	Melanoma_t	0	54	TRUE	B	B	A	id172
20220308_npop_SCP_6_Slot2.6_1_220	timsTOFSCP	AUR2-25075C18A	U-937_t	4	54	TRUE	B	B	A	id173
20220308_npop_SCP_6_Slot2.6_1_220	timsTOFSCP	AUR2-25075C18A	PDAC_t	8	54	TRUE	B	B	A	id174
20220308_npop_SCP_7_Slot2.7_1_221	timsTOFSCP	AUR2-25075C18A	U-937_t	0	55	TRUE	B	B	A	id175
20220308_npop_SCP_7_Slot2.7_1_221	timsTOFSCP	AUR2-25075C18A	PDAC_t	4	55	TRUE	B	B	A	id176
20220308_npop_SCP_7_Slot2.7_1_221	timsTOFSCP	AUR2-25075C18A	Melanoma_t	8	55	TRUE	B	B	A	id177
20220308_npop_SCP_8_Slot2.8_1_222	timsTOFSCP	AUR2-25075C18A	PDAC_t	0	56	TRUE	B	B	A	id178
20220308_npop_SCP_8_Slot2.8_1_222	timsTOFSCP	AUR2-25075C18A	Melanoma_t	4	56	TRUE	B	B	A	id179
20220308_npop_SCP_8_Slot2.8_1_222	timsTOFSCP	AUR2-25075C18A	U-937_t	8	56	TRUE	B	B	A	id180
20220308_npop_SCP_9_Slot2.9_1_223	timsTOFSCP	AUR2-25075C18A	Melanoma_t	0	57	TRUE	B	B	A	id181
20220308_npop_SCP_9_Slot2.9_1_223	timsTOFSCP	AUR2-25075C18A	U-937_t	4	57	TRUE	B	B	A	id182
20220308_npop_SCP_9_Slot2.9_1_223	timsTOFSCP	AUR2-25075C18A	PDAC_t	8	57	TRUE	B	B	A	id183
20220308_npop_SCP_10_Slot2.10_1_224	timsTOFSCP	AUR2-25075C18A	U-937_t	0	58	TRUE	B	B	A	id184
20220308_npop_SCP_10_Slot2.10_1_224	timsTOFSCP	AUR2-25075C18A	PDAC_t	4	58	TRUE	B	B	A	id185
20220308_npop_SCP_10_Slot2.10_1_224	timsTOFSCP	AUR2-25075C18A	Melanoma_t	8	58	TRUE	B	B	A	id186
